"epci","clust","lib"
200060010,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200065563,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200065589,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200065597,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200065647,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200065787,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200065886,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200065894,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200065928,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200066009,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200066017,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200066025,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200066033,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200066041,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200066058,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200066108,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200066116,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200066124,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200066132,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200066140,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200066157,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200066165,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200066173,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200066223,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200066231,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200066280,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200066322,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200066330,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200066348,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200066355,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200066363,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200066371,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200066389,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200066405,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200066413,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200066462,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200066512,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200066520,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200066553,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200066561,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200066587,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200066603,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200066637,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200066645,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200066652,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200066660,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200066678,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200066710,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200066728,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200066744,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200066751,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200066769,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200066777,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200066785,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200066793,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200066801,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200066819,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200066827,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200066835,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200066850,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200066868,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200066876,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200066884,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200066892,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200066918,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200066926,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200066975,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200067023,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067031,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067049,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200067064,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200067072,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067080,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067106,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200067114,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067122,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200067130,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067155,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067163,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200067171,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067189,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067197,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200067205,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067213,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200067221,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067239,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200067247,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200067254,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200067262,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067288,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200067296,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200067304,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200067320,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200067346,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200067361,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067379,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200067429,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200067437,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067445,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067452,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200067460,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067478,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200067486,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200067502,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200067510,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067544,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200067551,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200067593,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200067627,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200067635,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200067643,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200067650,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200067668,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067676,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067684,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067692,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200067700,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067742,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067759,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200067767,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067783,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067791,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067817,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200067825,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200067841,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200067866,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200067874,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067882,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067890,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067908,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200067916,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067924,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200067932,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200067940,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067957,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200067965,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200067973,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200067981,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200067999,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200068005,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200068047,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200068070,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200068088,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200068096,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200068104,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200068112,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200068120,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200068146,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200068229,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200068278,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200068294,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200068369,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200068377,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200068435,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200068443,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200068450,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200068468,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200068484,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200068500,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200068534,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200068542,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200068559,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200068567,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200068625,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200068641,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200068658,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200068666,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200068674,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200068682,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200068757,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200068765,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200068773,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200068781,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200068799,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200068807,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200068815,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200068831,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200068856,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200068864,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200068872,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200068880,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200068914,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200068922,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200068930,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200068948,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200068955,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200068963,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200068989,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200068997,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200069003,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200069029,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200069037,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200069052,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200069060,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200069086,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200069094,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200069102,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200069110,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200069128,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200069136,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200069144,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200069151,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200069169,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200069177,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200069185,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200069193,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200069227,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200069235,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200069250,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200069268,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200069300,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200069383,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200069391,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200069409,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200069417,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200069425,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200069433,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200069441,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200069458,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200069482,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200069516,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200069524,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200069532,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200069540,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200069565,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200069581,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200069599,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200069615,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200069623,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200069631,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200069649,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200069656,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200069664,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200069672,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200069698,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200069722,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200069730,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200069748,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200069755,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200069763,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200069821,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200069839,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200069847,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200069854,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200069912,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200069953,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200069961,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200069995,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200070035,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200070043,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200070068,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200070092,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200070100,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200070118,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200070126,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200070142,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200070159,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200070167,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200070183,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200070233,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200070282,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200070290,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200070308,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200070316,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200070324,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200070332,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200070340,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200070365,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200070373,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200070407,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200070431,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200070449,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200070464,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200070506,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200070514,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200070530,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200070548,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200070555,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200070563,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200070571,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200070589,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200070647,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200070662,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200070670,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200070688,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200070712,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200070720,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200070738,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200070746,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200070753,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200070761,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200070779,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200070787,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200070795,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200070803,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200070811,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200070829,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200070845,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200070852,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200070894,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200070902,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200070910,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200070928,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
